Key,ShadowPrice
BusingArea,0.0
BusingCardinality,0.0
BusingDistance,0.440586064767092
4260,2.8052215546139228
4030,3.9839344557655667
4193,4.41367090448589
4242,0.0
4370,1.8941348834602938
4022,1.0997515066387678
4240,0.0
4690,0.0
4391,3.3341889846563566
4530,2.0432235541805666
4285,2.828878525517223
4361,8.155105178494978
4592,2.3170612315783146
4680,1.999141170107699
4450,9.14822067559471
4390,1.8211606770976472
4580,0.7540310242985457
4400,2.9289809432798317
4280,3.0743934604557763
4178,0.0
4531,2.6296347293911637
4620,0.0
4151,0.0
4331,4.367383244635604
4173,1.979140230415931
4123,1.9580804197753556
4630,1.2328026876242641
4570,0.6275062291263473
4381,4.92996017446835
4080,3.8002156500186866
4082,4.251008196683965
4460,2.0836013927717576
4270,0.8379714327111493
4311,3.153825430006396
4231,1.6633190860412035
4160,2.7090186858443284
4291,2.4779013180120573
4322,8.550957312304586
4113,2.297838989876108
4350,1.9159863018404715
4084,0.0
4590,1.4492724741602299
4052,0.0
4543,8.175723987070576
4600,2.869482700098468
4053,1.815250478685888
4081,2.9152333077290997
4190,1.5663731211982626
4031,4.950913327633186
4130,2.4181396646657363
4121,2.343200038736477
4201,0.9992008315434765
4230,0.24914490096122577
4561,3.4199389399668654
4070,0.0
4640,0.5931838792369885
4250,0.0
4200,2.390338055327101
4061,8.069993340810813
4055,0.0
4210,3.0662586666261533
4283,4.441980396786551
4140,2.5376847070594235
4440,3.508335024501569
4661,3.841176079630057
4345,1.2278936537187577
4171,3.036927267766435
4272,2.1160579309670915
4100,1.1277889707630986
4621,2.128163370741493
4323,6.735082032913522
4560,0.30945226612351207
4360,8.186339606385488
4650,2.332948348754889
4541,8.955030167783416
4290,0.0
4062,7.803990139191241
