studentno
10210006
10210058
10210137
10210149
10210160
10210205
10210214
10210220
10210221
10210224
10210228
10210236
10210243
10210269
10210305
10210349
10210407
10210420
10210423
10210489
10210529
10210555
10210583
10210610
10210669
10210705
10210721
10210758
10210853
10210907
10210912
10210930
10211041
10211047
10211048
10211079
10211117
10211246
10211275
10211279
10211294
10211374
10211386
10211410
10211414
10211423
10211444
10211447
10211499
10211541
10211576
10211638
10211651
10211701
10211707
10211733
10211748
10211749
10211787
10211794
10211918
10212014
10212026
10212079
10212102
10212146
10212148
10212165
10212192
10212199
10212205
10212225
10212244
10212257
10212341
10212383
10212397
10212443
10212459
10212466
10212475
10212478
10212489
10212575
10212592
10212692
10212745
10212750
10212757
10212846
10212929
10212955
10213085
10213156
10213616
10214035
10214109
10214132
10214257
10214529
10214729
10214974
10215146
10215830
10216002
10216004
10216007
10216015
10216018
10216019
10216029
10216031
10216034
10216035
10216037
10216043
10216045
10216047
10216049
10216057
10216070
10216076
10216078
10216080
10216088
10216095
10216099
10216100
10216112
10216122
10216125
10216132
10216134
10216141
10216143
10216152
10216158
10216195
10216203
10216204
10216212
10216214
10216215
10216216
10216218
10216219
10216226
10216235
10216236
10216237
10216239
10216240
10216242
10216244
10216252
10216253
10216255
10216256
10216257
10216258
10216267
10216270
10216271
10216272
10216274
10216281
10216284
10216290
10216302
10216308
10216317
10216339
10216342
10216344
10216354
10216360
10216366
10216378
10216379
10216392
10216394
10216411
10216414
10216415
10216428
10216430
10216438
10216450
10216453
10216459
10216476
10216508
10216517
10216518
10216530
10216536
10216537
10216559
10216566
10216574
10216575
10216585
10216594
10216615
10216637
10216692
10216707
10216708
10216788
10216789
10216790
10216791
10216794
10216796
10216800
10216810
10216811
10216812
10216816
10216837
10216839
10216840
10216842
10216845
10216851
10216859
10216865
10216879
10216884
10216889
10216940
10216947
10216950
10216953
10216961
10216966
10216973
10216987
10217309
10217320
10217321
10217326
10217332
10217336
10217343
10217355
10217367
10217370
10217373
10217376
10217387
10217389
10217392
10217393
10217399
10217413
10217487
10217495
10217500
10217501
10217503
10217504
10217506
10217515
10217518
10217521
10217522
10217531
10217532
10217534
10217535
10217536
10217537
10217542
10217543
10217547
10217549
10217557
10217563
10217581
10217584
10217586
10217589
10217591
10217602
10217610
10217619
10217631
10217639
10217642
10217646
10217651
10217653
10217654
10217664
10217673
10217674
10217679
10217681
10217682
10217684
10217685
10217696
10217697
10217699
10217701
10217712
10217718
10217719
10217749
10217754
10217760
10217761
10217784
10217786
10217796
10217803
10217804
10217807
10217809
10217811
10217812
10217818
10217820
10217821
10217823
10217824
10217831
10217834
10217850
10217852
10217855
10217865
10217867
10217869
10217881
10217891
10217895
10217898
10217906
10217907
10217910
10217914
10217917
10217926
10217927
10217930
10217931
10217934
10217935
10217938
10217939
10217943
10217947
10217948
10217950
10217955
10217960
10217972
10217976
10217977
10217989
10217990
10218008
10218013
10218015
10218017
10218020
10218034
10218038
10218045
10218056
10218059
10218062
10218084
10218090
10218112
10218113
10218127
10218135
10218153
10218157
10218161
10218166
10218168
10218172
10218180
10218190
10218192
10218193
10218195
10218197
10218198
10218199
10218213
10218285
10218305
10218306
10218336
10218337
10218345
10218346
10218361
10218362
10218363
10218364
10218365
10218376
10218399
10218432
10218434
10218486
10218487
10218488
10218498
10218507
10218509
10218518
10218525
10218550
10218558
10218562
10218563
10218579
10218600
10218604
10218608
10218610
10218625
10218631
10218660
10218674
10218705
10218709
10218715
10218716
10218721
10218722
10218746
10218750
10218767
10218775
10218782
10218790
10218798
10218804
10218810
10218831
10218834
10218864
10218886
10218887
10218892
10218893
10218897
10218898
10218904
10218907
10218912
10218922
10218923
10218928
10218929
10218943
10218956
10218982
10218991
10218994
10219003
10219008
10219011
10219017
10219042
10219048
10219063
10219074
10219076
10219078
10219080
10219081
10219083
10219085
10219087
10219088
10219089
10219090
10219091
10219095
10219108
10219119
10219153
10219157
10219161
10219178
10219180
10219200
10219204
10219205
10219212
10219223
10219228
10219229
10219233
10219237
10219242
10219244
10219249
10219255
10219256
10219260
10219265
10219266
10219276
10219286
10219302
10219309
10219315
10219319
10219321
10219330
10219333
10219347
10219348
10219358
10219360
10219372
10219386
10219387
10219388
10219397
10219431
10219451
10219452
10219486
10219492
10219514
10219516
10219522
10219527
10219541
10219542
10219547
10219549
10219552
10219567
10219568
10219591
10219613
10219623
10219628
10219641
10219653
10219660
10219674
10219679
10219680
10219685
10219686
10219689
10219691
10219696
10219698
10219745
10219778
10219799
10219806
10219811
10219813
10219845
10219851
10219861
10219862
10219878
10219886
10219900
10219908
10219911
10219922
10219938
10219939
10219949
10219989
10219994
10219997
10228812
10228841
10228844
10228889
10228898
10240000
10240010
10240012
10240015
10240019
10240020
10240021
10240022
10240025
10240029
10240032
10240034
10240038
10240049
10240067
10240068
10240070
10240081
10240085
10240086
10240087
10240088
10240101
10240107
10240130
10240137
10240140
10240141
10240142
10240143
10240157
10240161
10240168
10240171
10240174
10240177
10240178
10240180
10240181
10240188
10240194
10240203
10240209
10240216
10240218
10240220
10240221
10240227
10240230
10240231
10240232
10240243
10240244
10240248
10240255
10240260
10240277
10240278
10240285
10240290
10240298
10240309
10240310
10240315
10240316
10240320
10240328
10240330
10240334
10240339
10240344
10240347
10240356
10240357
10240359
10240361
10240387
10240393
10240395
10240399
10240400
10240403
10240404
10240430
10240432
10240461
10240469
10240474
10240482
10240483
10240491
10240493
10240498
10240504
10240506
10240513
10240533
10240545
10240556
10240567
10240592
10240594
10240608
10240620
10240622
10240647
10240660
10240665
10240666
10240667
10240668
10240681
10240697
10240770
