type_code,frl
0,0.1
1,0.454545454545455
2,0.454545454545455
3,0.454545454545455
4,0.0
5,0.117647058823529
6,0.0
7,0.25
8,0.0833333333333333
9,0.363636363636363
10,0.2878787878787875
11,0.0
12,0.1194029850746274
13,0.605263157894737
14,0.8837209302325579
15,0.8837209302325579
16,0.6666666666666671
17,0.7647058823529409
18,0.844594594594594
19,0.844594594594594
20,0.6599999999999999
21,0.6599999999999999
22,0.913580246913581
23,0.913580246913581
24,0.0769230769230769
25,0.67391304347826
26,0.67391304347826
27,0.6428571428571428
28,0.6428571428571428
29,1.0
30,1.0
31,0.0952380952380952
32,0.2444444444444449
33,0.2444444444444449
34,1.0
35,0.575
36,0.575
37,0.609375
38,0.609375
39,0.8
40,0.8
41,0.8
42,0.666666666666667
43,0.8732394366197181
44,0.571428571428571
45,0.571428571428571
46,0.0
47,0.8020833333333339
48,0.8020833333333339
49,0.8191489361702128
50,1.0
51,1.0
52,0.333333333333334
53,0.7582417582417591
54,0.7582417582417591
55,0.6176470588235298
56,0.5789473684210522
57,0.6309523809523807
58,1.0
59,0.863636363636364
60,0.78343949044586
61,0.78343949044586
62,0.78343949044586
63,0.6818181818181814
64,0.7916666666666663
65,0.7916666666666663
66,0.7916666666666663
67,0.8118279569892471
68,0.8118279569892471
69,0.8118279569892471
70,0.53125
71,0.53125
72,0.688888888888889
73,0.894308943089431
74,0.894308943089431
75,0.8229166666666664
76,0.8229166666666664
77,0.6901408450704221
78,0.6901408450704221
79,0.730769230769231
80,0.730769230769231
81,0.5909090909090909
82,0.5909090909090909
83,0.807174887892376
84,0.807174887892376
85,0.857142857142857
86,0.77056277056277
87,0.77056277056277
88,0.7347826086956519
89,0.7347826086956519
90,0.7347826086956519
91,0.0
92,0.0
93,0.333333333333333
94,0.142857142857143
95,0.0
96,0.0769230769230769
97,0.0
98,0.111111111111111
99,0.0
100,0.0
101,0.0
102,0.133333333333333
103,0.0
104,0.0
105,0.111111111111111
106,0.5000000000000004
107,0.0
108,0.0
109,0.0
110,0.333333333333333
111,0.0
112,0.0
113,0.333333333333333
114,0.0
115,0.428571428571429
116,0.8
117,0.0
118,0.0
119,0.0
120,0.5
121,0.666666666666667
122,0.0
123,0.333333333333333
124,0.333333333333333
125,0.0
126,0.0
127,0.0
128,0.21428571428571438
129,0.21428571428571438
130,0.0
131,0.0
132,0.0869565217391304
133,0.44
134,0.0
135,0.0
136,0.6956521739130432
137,0.8493150684931507
138,0.1428571428571428
139,0.705882352941177
140,0.705882352941177
141,0.514285714285714
142,0.2380952380952382
143,0.2380952380952382
144,0.0895522388059702
145,0.62962962962963
146,0.62962962962963
147,0.0
148,0.761467889908257
149,0.0
150,0.0
151,0.368421052631579
152,0.368421052631579
153,0.230769230769231
154,0.230769230769231
155,0.727272727272727
156,0.175
157,0.175
158,0.6195652173913039
159,0.6195652173913039
160,0.0
161,0.6601307189542479
162,0.7727272727272729
163,0.7727272727272729
164,0.7346938775510201
165,0.7346938775510201
166,0.802197802197802
167,0.222222222222222
168,0.461538461538462
169,0.6693548387096776
170,0.7866666666666666
171,0.7866666666666666
172,0.04
173,0.2916666666666663
174,0.153846153846154
175,0.25641025641025633
176,0.0476190476190476
177,0.0476190476190476
178,0.0526315789473684
179,0.136363636363636
180,0.0
181,0.0952380952380952
182,0.333333333333333
183,0.0545454545454545
184,0.0545454545454545
185,0.166666666666667
186,0.229508196721311
187,0.125
188,0.125
189,0.5303030303030305
190,0.5303030303030305
191,0.217391304347826
192,0.6
193,0.6
194,0.7758620689655177
195,0.7758620689655177
