type_code,census_blockgroup,lang_match
285,60750211002,no_match
286,60750211003,no_match
287,60750211004,no_match
288,60750212001,no_match
289,60750212002,no_match
290,60750212003,no_match
291,60750213001,no_match
292,60750213002,no_match
293,60750214001,no_match
294,60750214002,no_match
295,60750214003,no_match
296,60750215001,no_match
297,60750215002,no_match
298,60750215003,no_match
299,60750215004,no_match
300,60750215005,no_match
301,60750216001,no_match
302,60750216002,no_match
303,60750217001,no_match
304,60750217002,no_match
305,60750217002,spanish
306,60750217003,no_match
307,60750217003,spanish
308,60750218001,no_match
309,60750218001,spanish
310,60750218002,no_match
311,60750218003,no_match
312,60750218004,no_match
313,60750218004,spanish
314,60750226001,no_match
315,60750226001,spanish
316,60750226002,no_match
317,60750227021,no_match
318,60750227022,no_match
319,60750227041,cantonese
320,60750227041,no_match
321,60750227041,spanish
322,60750227042,no_match
323,60750228011,spanish
324,60750228012,no_match
325,60750228012,spanish
326,60750228013,no_match
327,60750228013,spanish
328,60750228021,no_match
329,60750228022,no_match
330,60750228022,spanish
331,60750228031,no_match
332,60750228031,spanish
333,60750228032,cantonese
334,60750228032,no_match
335,60750228032,spanish
336,60750228033,no_match
337,60750228033,spanish
338,60750229011,no_match
339,60750229011,spanish
340,60750229012,no_match
341,60750229012,spanish
342,60750229013,no_match
343,60750229013,spanish
344,60750229021,no_match
345,60750229021,spanish
346,60750229022,spanish
347,60750229031,no_match
348,60750229031,spanish
349,60750229032,no_match
350,60750229032,spanish
351,60750229033,no_match
352,60750229033,spanish
353,60750230011,cantonese
354,60750230011,no_match
355,60750230011,spanish
356,60750230012,cantonese
357,60750230012,no_match
358,60750230012,spanish
359,60750230013,cantonese
360,60750230013,no_match
361,60750230031,cantonese
362,60750230031,no_match
363,60750230031,spanish
364,60750230032,cantonese
365,60750230032,no_match
366,60750230032,spanish
367,60750231021,cantonese
368,60750231021,no_match
369,60750231022,no_match
370,60750231022,spanish
371,60750231031,cantonese
372,60750231031,no_match
373,60750231031,spanish
374,60750231032,no_match
375,60750231032,spanish
376,60750232001,cantonese
377,60750232001,no_match
378,60750232001,spanish
379,60750232002,cantonese
380,60750232002,no_match
381,60750232002,spanish
382,60750232003,no_match
383,60750232003,spanish
384,60750233001,cantonese
385,60750233001,no_match
386,60750233001,spanish
387,60750234001,cantonese
388,60750234001,no_match
389,60750234001,spanish
390,60750234002,cantonese
391,60750234002,no_match
392,60750234002,spanish
393,60750251001,no_match
394,60750251001,spanish
395,60750251002,no_match
396,60750251003,no_match
397,60750252001,no_match
398,60750252002,no_match
399,60750252003,no_match
400,60750252004,no_match
401,60750253001,no_match
402,60750253001,spanish
403,60750253002,no_match
404,60750253002,spanish
405,60750253003,no_match
406,60750253003,spanish
407,60750253004,cantonese
408,60750253004,no_match
409,60750253004,spanish
410,60750254011,no_match
411,60750254011,spanish
412,60750254012,no_match
413,60750254013,no_match
414,60750254013,spanish
415,60750254021,no_match
416,60750254022,no_match
417,60750254023,no_match
418,60750254023,spanish
419,60750254031,cantonese
420,60750254031,no_match
421,60750254031,spanish
422,60750254032,no_match
423,60750254032,spanish
424,60750255001,cantonese
425,60750255001,no_match
426,60750255002,cantonese
427,60750255002,no_match
428,60750255002,spanish
429,60750255003,cantonese
430,60750255003,no_match
431,60750255003,spanish
432,60750255004,no_match
433,60750255004,spanish
434,60750255005,cantonese
435,60750255005,no_match
436,60750255005,spanish
437,60750255006,cantonese
438,60750255006,no_match
439,60750255006,spanish
440,60750256001,no_match
441,60750256001,spanish
442,60750256002,cantonese
443,60750256002,no_match
444,60750256002,spanish
445,60750256003,no_match
446,60750256004,cantonese
447,60750256004,no_match
448,60750256004,spanish
449,60750257011,cantonese
450,60750257011,no_match
451,60750257011,spanish
452,60750257012,cantonese
453,60750257012,no_match
454,60750257012,spanish
455,60750257013,cantonese
456,60750257013,no_match
457,60750257013,spanish
458,60750257021,cantonese
459,60750257021,no_match
460,60750257021,spanish
461,60750257022,cantonese
462,60750257022,no_match
463,60750257022,spanish
464,60750257023,cantonese
465,60750257023,no_match
466,60750258001,cantonese
467,60750258001,no_match
468,60750258001,spanish
469,60750258002,cantonese
470,60750258002,no_match
471,60750258002,spanish
472,60750259001,cantonese
473,60750259001,no_match
474,60750259002,cantonese
475,60750259002,no_match
476,60750259002,spanish
477,60750259003,no_match
478,60750259003,spanish
479,60750260011,cantonese
480,60750260011,no_match
481,60750260011,spanish
482,60750260012,cantonese
483,60750260012,no_match
484,60750260012,spanish
485,60750260021,cantonese
486,60750260021,no_match
487,60750260021,spanish
488,60750260022,cantonese
489,60750260022,no_match
490,60750260022,spanish
491,60750260031,cantonese
492,60750260031,no_match
493,60750260031,spanish
494,60750260032,cantonese
495,60750260032,no_match
496,60750260032,spanish
497,60750260041,cantonese
498,60750260041,no_match
