Geocode,Distance,Busing,Utility,Top1,Top3,Cohesion,NumPeople,NumChoices,NumBusingChoices,Weight,Area,BusingArea
1,3.6045519807229796,3.129472724723534,4.953652108628875,0.7124754637211517,0.7864850110921403,0.10908626316828693,0.86097,28,26,0.86097,0.2722748603,
2,3.2296040632320255,2.926087427441436,5.30202471655501,0.7137130673042993,0.7867752534819721,1.336457520090127,10.00367,28,26,10.00367,0.3890154238,
3,3.2523255825213417,2.92396607318099,5.305252697981938,0.7125710161125082,0.7884069106826861,0.11104125919716867,0.85896,28,26,0.85896,0.2760310972,
4,3.2458370038056943,2.9045493282712984,5.429676590446981,0.7102331569961093,0.78740168500014,1.0045903658297646,1.42908,28,26,1.42908,0.0770043706,
5,3.078381412931344,2.8034173392383233,5.573624785967322,0.7078174111357606,0.785369890476209,3.0963335366588054,2.57387,28,26,2.57387,0.0393096643,
6,2.945070502484598,2.716448190012292,5.713645596021637,0.7086156067996617,0.786450050711504,3.1081461396510472,4.86083,28,26,4.86083,0.0458151799,
7,2.7781516202164886,2.6699009605598687,5.773228430553561,0.7133715164494013,0.7873525015450508,5.636201618350892,11.13232,28,26,11.13232,0.0824629737,
8,2.753582060950915,2.6743479643433083,5.756847925551559,0.7144426652952933,0.7876290045465703,4.0789981182575765,3.42236,28,26,3.42236,0.0761629178,
9,3.283217963296004,2.935409728748037,5.312441623999657,0.7101983233118393,0.7863721667317867,1.4302424476045876,11.44041,28,26,11.44041,0.1292183286,
10,2.8985035656077427,2.7175868238799286,5.688250682703679,0.7117216920703328,0.7871136532186067,4.653404779416057,16.27521,28,26,16.27521,0.1426939387,
12,2.9325606376813678,2.545455101712944,5.878334799856805,0.6960140207453424,0.7827360950430733,4.166321436525283,20.29564,28,25,20.29564,0.2309788326,
13,2.922316581386795,2.414852959817088,5.941687326939006,0.702086954084207,0.7848503111509783,0.8361271514268095,1.42696,28,24,1.42696,0.1624242913,
14,2.726998000948745,2.2059625436305894,6.23580359175824,0.6934863151782249,0.7805107441088301,4.600558995299717,17.70319,28,23,17.70319,0.105658234,
15,2.6176314897929003,1.8655967524946406,6.529262827336472,0.682127144011577,0.7762228547640232,5.996092415367734,8.57563,28,20,8.57563,0.1285449537,
16,2.6290217519315644,1.927461430227792,6.502435257826455,0.6782472589390326,0.7763298444984439,10.984433066660701,14.30468,28,21,14.30468,0.2043880217,
17,2.4199245634762483,1.9916240054687275,6.610732688692989,0.6741146631416237,0.7722452113626671,11.249903460534107,35.73668,28,22,35.73668,0.0815861921,
19,2.2871768617030694,1.9480999571486364,6.712625345203476,0.6723993477882908,0.7713708304924716,23.634349000430632,28.58581,28,22,28.58581,0.0449409268,
20,2.2548080410899014,1.9461205647283473,6.7373027647889385,0.6720251265917551,0.7704435943214744,17.924105364268158,22.84114,28,22,22.84114,0.0306728157,
21,2.218322152033517,1.887493195975399,6.789612282275729,0.6713471783015846,0.7701115899884524,16.32743447932752,25.16534,28,21,25.16534,0.0602429761,
22,2.2456209510017127,1.5482864818614046,6.8728632328027155,0.6741830000715165,0.7739830074767711,23.502116330463036,19.71573,28,20,19.71573,0.0302497412,
23,2.247615066661859,1.5267372556736973,6.878112174261283,0.675013606897756,0.7749889068263274,22.300027905980404,41.17397,28,20,41.17397,0.0848894808,
24,2.27534011545265,1.5711484912673293,6.84849110499598,0.678085711259703,0.7779630218020713,18.23413575332636,42.01665,28,21,42.01665,0.0827321183,
25,2.426127041745989,1.7108072681704414,6.710100370369495,0.6761583824200929,0.7780026886029368,10.543643326378346,29.69572,28,22,29.69572,0.1683724611,
26,2.298594974449944,1.4981203684598527,6.839850266291973,0.6792330047691485,0.7784016157546355,14.810844545286354,31.13344,28,20,31.13344,0.0904069507,
27,2.3946839471494346,1.6204179383789679,6.672238390299724,0.6731849240818839,0.7733104634816726,6.2555216354391785,5.71932,28,20,5.71932,0.0491357218,
28,2.265981545417917,1.582670081850591,6.800417322942929,0.6696561855129236,0.7719729984960302,15.438470847469484,14.2955,28,20,14.2955,0.063622946,
29,2.230489017264432,1.9100594957765364,6.761062587264603,0.6678544284934589,0.7696558186848781,13.894551525180916,13.72329,28,21,13.72329,0.0687979958,
30,2.289847935259008,1.9586327443938083,6.654218239091664,0.6688389641570914,0.7688533649213003,11.242196175894245,32.01219,28,21,32.01219,0.0822935862,
32,2.4432265062071643,2.0325721198504434,6.479337454155113,0.6658009504344574,0.7679919359250414,7.135805945641032,11.15069,28,21,11.15069,0.0673395168,
33,2.4483481515100207,2.037282492015037,6.465957443089081,0.6687940189379541,0.7688072513761087,6.84355366207726,15.41666,28,21,15.41666,0.074885755,
34,2.5565389091971724,2.0803399446252757,6.345781732984469,0.670447885527669,0.7696030549545332,3.9079772352808915,5.42594,28,21,5.42594,0.1345103134,
35,2.4123690566365537,2.0146449489089613,6.5194586419833485,0.669629378077582,0.768794282450643,8.629750603296133,9.71745,28,21,9.71745,0.1263223079,
37,2.1979951841371506,1.3919736870501989,7.1204644329390945,0.6697516831124071,0.8206344956504383,9.372638896326118,10.27115,28,21,10.27115,0.4859835783,
38,1.9548614266567779,1.1969856673547872,7.347251129856483,0.6711221427069327,0.8244122913785742,5.154403752158702,6.27692,28,19,6.27692,0.2872148391,
40,1.7313471310654942,1.3609922698858177,7.5181461730153,0.664484823889954,0.8223366591567428,4.542369264353983,2.85844,28,25,2.85844,0.0668587256,
