Metric,3Zone,HomeBased,AshlagiShi2015,OptimizedPlan
(1) Av. # of choices,29.24364229453058,14.771539000573096,21.117679758584096,14.610497462297069
(2) Av. miles to assigned school,1.7902355288382426,1.2976602601509581,1.3165077157804188,1.290494368683758
(3) Miles bused per student,1.2595139602676655,0.6393472365844916,0.6294619880422444,0.6309512508760243
(4) Av. bus coverage area,22.626599241276637,8.510562697803898,13.470317402557145,7.766067116302586
(5) Av. # of busing choices,22.287627710120418,8.17331639254921,14.642559879142427,8.154885008890652
(6) Weighted average utility,7.204600024922285,6.9501521326826605,7.492088807246891,7.452067531735937
(7) 10th percentile utility,6.413350999608922,6.096155016150495,7.309968522592661,7.265282099271895
(8) Lowest utility of any neighborhood,4.953652108628875,4.584104218514564,7.030852632575255,6.958324097711164
(9) % getting top 1 choice in menu,0.6116509597722909,0.6409497662324101,0.7873030239438966,0.7871452552532444
(10) % getting top 3 choice in menu,0.8035323054513769,0.8485359427407334,0.9339229114137727,0.9282535568036869
