Type,Weight,Menu Size,Busing Menu Size,Utility,firstChoiceProb,Assignment Prob
63,3.120507926,15,14,7.394368466362164,0.9318683764325987,1.0
32,11.1469116028,16,9,7.394368466362163,0.7515531306765642,1.0
379,7.7095110511,19,16,7.394368466362164,0.9786489021409025,0.9999999999999999
221,1.7139970002,8,4,7.394368466362164,0.8012361419396534,1.0
24,42.0152821952,17,10,7.394368466362164,0.7477286690624492,1.0
356,5.1396740341,19,10,7.394368466362164,0.9371635639400977,0.9999999999999999
374,3.7119868024,16,14,7.492380507442245,1.0,1.0
610,2.8545741704,15,10,7.885156477163424,1.0,1.0
574,3.1276566299,16,8,7.394368466362164,0.8042471576542248,1.0
106,0.2836825387,10,9,7.432190637669452,1.0,1.0
651,2.2836593363,22,18,7.394368466362164,0.63257767804752,1.0
584,6.5655205919,14,5,7.394368466362164,0.8015670622268962,1.0
261,7.6769753643,21,8,8.449265386128719,1.0000000000000002,1.0
442,3.9806538926,23,16,7.394368466362164,0.8277007768772581,1.0
350,8.8516608365,22,17,7.394368466362164,0.7262769425379649,1.0
167,5.7004891369,14,7,8.722461105711258,1.0,1.0
677,7.1536350663,21,16,7.394368466362164,0.6094889231702905,1.0
533,1.4293035628,10,6,7.394368466362164,0.6762016429540302,1.0
257,7.7140441873,20,10,8.363293799892627,1.0000000000000002,1.0
454,5.4252114804,21,14,7.394368466362164,0.9106150554095345,1.0
644,10.2764670134,17,12,7.394368466362164,0.6408853576671539,1.0
701,4.0060356371,15,10,9.471058027240993,1.0,1.0
472,2.5653005586,16,9,7.394368466362164,0.7940151400483506,0.9999999999999999
51,0.8557950031,8,6,7.910839535842512,1.0,1.0
264,7.9613077852,21,9,8.275899337943349,1.0,1.0
55,6.2758300226,8,5,9.036741047793575,0.9999999999999999,1.0
694,4.0060356371,24,22,7.394368466362164,0.675907855796153,1.0
150,4.5603913095,11,7,8.40754666891536,0.9999999999999999,1.0
463,10.2612022346,26,20,7.394368466362165,0.7543678117384941,1.0
569,3.1400315874,25,20,7.394368466362164,0.5880054461157321,1.0
835,5.686648418,25,19,7.394368466362163,0.8343539174965591,1.0
830,0.856612339,25,21,7.394368466362164,0.9795838752429935,1.0
664,13.9674937092,23,18,7.394368466362164,0.6605619079918669,0.9999999999999999
428,12.8265027932,20,13,7.394368466362164,0.6719978134803765,0.9999999999999998
407,1.4276872317,28,26,7.394368466362164,0.8835796380043615,1.0
465,11.1163024208,16,9,7.394368466362164,0.965662443198737,1.0
288,5.1179835762,18,5,7.394368466362164,0.7308915983971787,1.0
568,0.5686648418,20,9,7.394368466362165,0.7878818901701394,1.0
573,2.2836593363,17,13,7.394368466362164,0.9755823349949894,1.0
684,4.2757633804,17,11,7.394368466362164,0.6131745561097773,1.0
847,1.9903269463,17,7,8.003186380655036,0.9999999999999996,1.0
526,3.1444678381,8,7,7.394368466362164,0.9756173467233191,1.0
482,4.2755009311,17,13,7.394368466362165,0.9162000402641113,1.0
681,5.9860687325,20,13,7.394368466362164,0.5760470948745586,1.0
330,19.6189370422,19,7,7.394368466362164,0.835656884357379,1.0
693,3.7198902345,25,22,7.394368466362165,0.6593444794147025,1.0
84,2.5531428486,15,12,7.394368466362164,0.3833098086615322,1.0
342,10.2793480682,20,10,7.394368466362164,0.8423316798588592,1.0
198,5.7133233341,8,3,7.394368466362164,0.7745095977339479,1.0
17,35.7272807783,21,15,8.31101030100671,0.7730072092087501,1.0
46,2.2821200082,6,4,8.200570974746125,1.0,1.0
246,7.1426335067,18,11,8.161909888243308,1.0000000000000002,1.0
730,2.2891632212,11,9,9.037968733797191,1.0000000000000002,1.0
547,6.2889356762,13,5,7.394368466362164,0.5682840043978525,1.0
754,2.5670425415,6,3,7.394368466362164,0.7402565637836059,1.0
340,9.4227357292,21,12,7.394368466362164,0.8226845643300843,1.0
836,1.713224678,25,17,7.394368466362164,0.7343353833984534,1.0
593,2.8368253873,21,15,7.394368466362164,0.7286239606880344,0.9999999999999999
648,2.5691167533,20,16,7.394368466362165,0.5793252732014367,1.0
505,2.2804071362,23,19,7.394368466362164,0.6411469792936988,1.0
431,3.1353673495,17,11,7.394368466362164,0.9983829485502727,1.0
143,0.2836825387,12,9,7.394368466362165,0.9054108584062899,1.0
689,1.7168724159,26,23,7.394368466362166,0.6270693381579168,1.0
380,4.8541365877,18,15,7.394368466362164,0.9689570570581064,1.0000000000000002
124,3.9715555422,9,5,8.344101053412835,1.0000000000000002,1.0
738,3.4337448318,14,12,8.878550204668906,1.0000000000000002,1.0
824,28.8676428688,21,17,7.394368466362164,0.7665669492559113,1.0
583,4.8527760896,16,7,8.175444185151921,1.0,1.0
101,0.2836825387,12,11,7.394368466362165,0.8863632266752242,1.0
151,3.4202934821,10,7,8.369872514921369,1.0,1.0
359,6.8528987121,22,14,7.394368466362164,0.7332572800585924,1.0
782,1.4261347453,7,1,7.394368466362164,0.6527451473110475,1.0
825,0.8575821377,11,3,7.394368466362164,0.6350891935802321,1.0
212,3.7136601672,8,4,7.394368466362164,0.8300037732652845,1.0
318,13.0792913615,20,10,7.394368466362165,0.8613532015469032,0.9999999999999999
16,14.2909123113,14,7,8.706584359236087,0.9319978147915128,1.0
718,4.5783264424,7,4,9.475710211231158,1.0,1.0
708,2.5753086239,10,5,9.489523817016817,0.9999999999999999,1.0
768,17.1136169434,7,1,7.394368466362164,0.6814438327906415,0.9999999999999999
57,4.8495050175,9,6,9.059072441163648,1.0,1.0
276,14.500953466,18,11,7.394368466362166,0.9021266247026648,1.0
470,5.4156345127,17,11,7.394368466362164,0.7998468428363332,1.0
317,10.8046319943,19,9,7.394368466362164,0.8618708212252182,1.0
563,25.9396311742,20,13,7.394368466362164,0.6598666074915364,1.0
586,1.9982019193,15,4,8.10472921155472,0.9999999999999999,1.0
14,17.720731266,13,8,8.411828228390869,1.0,1.0
383,3.4264493561,23,20,7.394368466362164,0.9788814084024956,1.0
80,1.4184126936,15,12,7.394368466362164,0.38553753571434424,1.0
776,3.4227233887,5,1,7.394368466362164,0.8061481139346655,1.0
185,1.9999373819,18,6,8.448397044769772,1.0,1.0
368,6.5673612658,20,16,7.394368466362164,0.8432335456751924,1.0
670,1.4252544601,21,16,7.394368466362164,0.7423720731883299,1.0
736,1.7168724159,13,10,9.279757853236214,0.9999999999999999,1.0
688,2.2891632212,23,20,7.394368466362164,0.7448906955415722,1.0
406,2.2802671632,25,23,7.394368466362164,0.9596372599924692,1.0
560,3.4206107043,21,14,7.394368466362164,0.6307386887169132,1.0
417,11.7070352999,22,14,7.394368466362163,0.8121176159122138,1.0
485,8.8616820892,16,12,7.394368466362164,0.93775904849725,1.0
602,1.1347301549,20,14,7.394368466362164,0.7490490319532234,1.0
69,0.5673650775,11,9,7.394368466362164,0.9852377859485195,1.0
388,3.1409119097,28,25,7.394368466362164,0.968245524266179,1.0
462,7.7095110511,21,11,7.394368466362164,0.7856830067720222,1.0
2,10.0036386179,12,10,7.394368466362164,0.9963769860603371,1.0
551,4.8458651644,18,12,7.394368466362164,0.6032626866721889,1.0
619,5.3899682359,20,16,7.394368466362164,0.7122275865104641,1.0
382,2.8553744634,22,19,7.394368466362164,0.9872731950842454,1.0
141,0.2836825387,19,17,7.394368466362164,0.8661936258417813,1.0
43,17.9716950648,8,6,7.397672233472394,0.6441814920757281,1.0
627,2.2694603098,22,20,7.394368466362164,0.8167517891838,1.0
774,0.8556808472,5,2,7.394368466362164,0.8427528981177043,0.9999999999999999
422,7.4108682805,21,16,7.394368466362164,0.8581467609807629,1.0
26,31.1541888386,16,8,7.394368466362164,0.5351995773206148,1.0
703,2.2891632212,13,9,9.544903802500492,1.0000000000000002,1.0
152,0.5700489137,13,9,8.548423292639862,0.9999999999999999,1.0
743,2.5753086239,14,12,8.981327307226964,0.9999999999999996,1.0
437,5.9962863731,23,16,7.394368466362165,0.8485338709676901,1.0
352,9.7082731755,24,15,7.394368466362164,0.7495344332737126,1.0
859,14.8217365611,26,19,7.394368466362163,0.7414197660863738,1.0
419,4.2755009311,22,17,7.394368466362165,0.8802644556819045,1.0
518,4.0020499758,12,9,7.394368466362165,0.8475761866574867,1.0
34,5.4305466783,12,5,8.440485369199042,0.8223701465635799,1.0
605,2.5691167533,18,11,7.394368466362163,0.7040869221072875,1.0
785,3.9931772868,5,1,7.394368466362164,0.7709293801475164,0.9999999999999999
281,10.8046319943,17,6,7.394368466362164,0.7954409516299636,1.0
117,2.8368253873,9,7,7.829992019281971,0.9999999999999999,1.0
769,2.8522694906,6,1,7.394368466362164,0.7174602238705845,1.0000000000000002
193,0.8569985001,9,3,7.394368466362164,0.9559624228246115,1.0
97,0.2836825387,11,10,7.394368466362164,0.9377897230631569,1.0
522,3.7161892632,12,8,7.394368466362164,0.7194001204504658,1.0
262,7.1083105225,22,10,8.420420613389908,0.9999999999999999,1.0
385,0.2855374463,28,26,7.394368466362164,0.9966945676786453,1.0
668,1.4252544601,13,9,7.394368466362164,0.9084969177206239,1.0000000000000002
135,0.8510476162,11,8,7.394368466362164,0.9390461956174623,1.0
453,8.2805859438,21,14,7.394368466362165,0.9181864732930841,1.0
828,8.8365776527,19,13,7.394368466362164,0.47329251447290593,0.9999999999999999
396,8.8516608365,25,18,7.394368466362164,0.724949021313363,0.9999999999999998
91,1.4184126936,12,11,7.394368466362164,0.9900363632874873,0.9999999999999999
747,1.1445816106,14,12,8.783340752949215,1.0,1.0
326,15.9226155705,23,11,7.394368466362164,0.7256171840843374,1.0000000000000002
70,1.9857777711,16,15,7.394368466362164,0.700738851853406,1.0
310,0.8529972627,19,8,7.394368466362163,0.7823573844808596,1.0
294,4.2649863135,17,6,7.983450936181519,0.9999999999999999,1.0
322,1.1373296836,21,9,7.394368466362164,0.7663133458702243,0.9999999999999998
338,8.5711602081,21,12,7.394368466362164,0.8044698289047326,1.0
87,2.5531428486,14,11,7.394368466362164,0.4158875605019978,1.0
717,0.858436208,7,4,9.599070187728694,1.0,1.0
704,5.722908053,11,5,9.396580427656572,0.9307096383302568,1.0
807,3.1374964396,7,5,7.394368466362165,0.9205603309595008,0.9999999999999999
223,2.5709955003,6,2,7.394368466362164,0.838084126001746,1.0
777,1.7113616943,5,1,7.394368466362164,0.7731230969533373,1.0
554,1.1434428502,11,3,7.394368466362164,0.79672381273814,1.0
180,2.2746593672,19,9,8.170183698633245,1.0000000000000002,1.0
772,1.7113616943,5,1,7.394368466362165,0.7793992516497837,1.0
604,0.5709148341,14,8,7.581968166733371,1.0000000000000002,1.0
233,1.7139970002,8,3,7.394368466362164,0.7421348833209608,1.0
542,5.7172142511,11,6,7.394368466362164,0.5931541016403871,1.0
29,13.7192758189,16,9,7.394368466362165,0.7108086647271146,1.0
275,2.5652201116,16,10,7.394368466362164,0.9174569647171918,1.0
389,3.1409119097,19,15,7.394368466362164,0.9872804220081894,0.9999999999999999
61,0.5673650775,15,13,7.394368466362164,0.7048429047345219,1.0
616,1.7020952324,21,15,7.394368466362164,0.7770809474971894,1.0
3,0.8574547387,13,11,7.394368466362164,0.9273760694861735,1.0
749,0.2852269491,6,2,7.394368466362164,0.7181515048107361,1.0000000000000002
5,2.572364216,12,10,7.394368466362164,0.9113631363321582,1.0
851,14.8212717559,19,13,7.394368466362164,0.6640834594181559,1.0
487,2.0010249879,15,11,7.394368466362164,0.9242545370369346,1.0
378,8.2805859438,19,16,7.394368466362164,0.8936410934429848,1.0
232,1.9996631669,6,4,7.394368466362163,0.9388256514505013,1.0
448,7.4239736048,22,17,7.394368466362164,0.9731048435852954,1.0
62,4.8226031584,17,15,7.394368466362164,0.6497905510111253,1.0
213,1.1426646668,8,4,7.855426949275641,0.9999999999999998,1.0
676,5.7010178405,22,17,7.394368466362164,0.5834170014082949,1.0
202,0.5713323334,8,3,7.394368466362164,0.8177333766647261,1.0
739,1.1445816106,14,12,8.976183121004546,1.0000000000000002,1.0
183,9.0986374689,22,10,8.592068232664632,1.0000000000000002,1.0
527,4.0020499758,7,5,7.394368466362164,0.8292628701127237,1.0
351,9.9938106218,22,16,7.394368466362164,0.69867556602324,1.0
393,14.8479472096,21,14,7.394368466362164,0.8026077463964071,1.0
467,3.7054341403,19,12,7.394368466362164,0.6389714843133265,0.9999999999999999
640,7.70735026,15,6,7.394368466362164,0.7734245276611588,1.0
557,3.4206107043,20,14,7.394368466362164,0.6419152538212605,1.0
725,1.7168724159,9,7,8.867610886606593,0.9999999999999999,1.0
241,3.142758743,19,9,8.339165487334768,0.9999999999999999,1.0
552,12.257188357,17,11,7.394368466362164,0.6773557517672931,1.0
155,3.4202934821,16,11,7.394368466362164,0.6886246768000654,1.0000000000000002
636,3.4254890045,16,9,7.394368466362164,0.7300330370951325,1.0
445,3.6963214717,25,19,7.394368466362164,0.8367461951704117,1.0
439,9.6911354438,22,15,7.394368466362163,0.9146689268004599,0.9999999999999999
306,4.5493187344,17,4,7.394368466362164,0.7582705988739504,1.0000000000000002
805,7.7011276245,7,2,7.8599787261119785,0.7754910979307219,1.0
33,15.4341852962,11,5,8.461535572759926,1.0,1.0
549,0.858436208,6,5,8.11310284284974,1.0,1.0
637,5.9946057578,15,9,7.394368466362164,0.7591835215406467,0.9999999999999999
458,5.9709808389,20,11,7.394368466362164,0.9401412631924662,0.9999999999999999
424,3.1353673495,19,14,7.394368466362164,0.7875629098862871,1.0
147,3.705317939,16,11,7.394368466362164,0.7137442788015051,0.9999999999999999
308,7.6769753643,17,6,7.394368466362165,0.8296825487095909,1.0
250,2.8570534027,16,11,7.716920875451955,1.0,1.0
630,0.5673650775,22,20,7.394368466362164,0.8360080770186346,1.0
587,1.7127445022,14,6,7.498610269306371,1.0000000000000002,1.0
81,1.9857777711,14,11,7.394368466362164,0.40467424802253216,1.0
671,0.285050892,18,12,7.394368466362163,0.8417585351468393,1.0
669,0.858436208,29,27,7.394368466362165,0.45247449692483194,1.0
405,1.713224678,32,31,7.394368466362165,0.8530730279043162,1.0
266,2.843324209,19,9,8.121855291804925,1.0,1.0
171,0.2850244568,16,11,8.699308294851384,1.0,1.0
839,7.1083105225,23,10,7.394368466362164,0.7119417081903011,0.9999999999999998
427,12.5414693978,17,9,7.394368466362164,0.6441110904487556,0.9999999999999998
455,12.8491850852,19,11,7.394368466362164,0.907595874403437,1.0
727,2.2891632212,10,8,9.15855437100488,0.9999999999999998,1.0
801,4.2784042359,8,5,7.394368466362164,0.8255858453104655,1.0
413,2.8503339541,22,17,7.394368466362164,0.9242304988661957,1.0
466,6.8408014897,18,11,7.394368466362165,0.6306324347373502,1.0
217,7.4273203343,10,3,7.394368466362164,0.6672816503525534,0.9999999999999999
397,8.2805859438,25,17,7.394368466362164,0.7197096819166946,1.0
822,15.1657063405,11,9,8.770785034928961,0.8128083118528057,1.0
271,12.826100558,17,11,7.394368466362164,0.8865302823562159,1.0
626,1.9857777711,23,21,7.394368466362164,0.8001569451963438,1.0
168,1.9951711979,16,10,7.394368466362164,0.5909147119867344,1.0
252,1.4285267013,17,10,8.11511418014163,0.9999999999999998,1.0
77,0.2836825387,9,7,7.5097415452844265,0.9999999999999998,1.0
514,1.7151642753,14,10,7.394368466362164,0.8665530058611144,1.0
400,2.569837017,29,22,7.394368466362164,0.7086872363588209,1.0
806,2.2818155925,7,3,7.394368466362164,0.8142965783389061,0.9999999999999999
325,8.2456402061,23,10,7.394368466362164,0.695286626055263,0.9999999999999999
367,13.1347225316,18,14,7.394368466362164,0.8979408114021202,0.9999999999999999
28,14.2909123113,15,7,7.394368466362164,0.7598389701618156,1.0
273,9.6908315327,19,13,7.394368466362163,0.6445642555115241,1.0
687,9.4066794368,20,14,7.394368466362164,0.5922804518979063,1.0
226,1.7139970002,6,2,7.394368466362164,0.7959351502422753,1.0
96,3.120507926,13,12,7.394368466362164,0.8743620138810664,1.0000000000000002
656,2.2836593363,15,13,7.723605960345806,0.9421862796000546,1.0
464,6.5557680943,18,12,7.394368466362164,0.983023538074228,1.0
606,4.2818612556,15,8,7.879274805428002,0.9999999999999999,1.0
611,19.6965617756,18,11,7.394368466362165,0.8067630405133044,1.0
154,4.2753668527,14,10,7.394368466362164,0.7450096489832154,1.0
44,14.5485150525,7,4,8.869656937474899,0.9999999999999999,1.0
227,1.9996631669,6,2,7.394368466362164,0.8004070556705895,0.9999999999999998
314,3.4119890508,17,8,7.394368466362164,0.8992588001843678,0.9999999999999999
166,5.7004891369,15,9,7.394368466362164,0.6005022332203462,1.0
345,21.129771029,24,15,7.394368466362164,0.6716552942514437,1.0
348,1.713224678,18,12,7.394368466362164,0.9637363692246314,1.0
364,10.8504229608,26,20,7.394368466362164,0.6718170018800957,1.0
336,10.5648855145,23,11,7.394368466362164,0.7545968996555785,1.0
65,1.1347301549,14,13,7.394368466362164,0.8518600816215129,1.0
196,9.1413173346,10,3,7.394368466362164,0.6960673147925497,0.9999999999999999
1,0.8574547387,77,75,7.394368466362164,1.0,1.0
128,0.8510476162,11,8,8.328389656626983,1.0,1.0
341,6.5673612658,21,11,7.394368466362164,0.8274524681438181,1.0
457,10.2359671525,25,18,7.394368466362164,0.8162622478926933,1.0
660,2.5753086239,22,18,7.394368466362164,0.7529660476841833,1.0
444,11.3732968361,25,19,7.394368466362164,0.7860350659812663,1.0
40,2.8526500103,12,9,7.394368466362165,0.4731574041821616,1.0
363,9.1371982828,20,12,7.394368466362164,0.7930794816604168,1.0
161,6.5555625074,10,6,8.51490558956154,0.9999999999999999,1.0
848,6.8509780089,20,13,7.394368466362165,0.6832717518894581,1.0
319,6.8239781016,17,7,7.394368466362164,0.949909115484912,1.0
441,14.2166210451,25,19,7.394368466362164,0.7893902613676894,1.0
156,5.1304402232,17,11,7.394368466362164,0.646366107532404,0.9999999999999999
321,5.9709808389,20,8,7.394368466362164,0.7884919647269064,1.0
235,4.285580104,14,8,7.404791675410212,0.9784875752836842,1.0
536,2.2868857004,9,6,7.394368466362164,0.934166297167086,1.0000000000000002
162,7.4106358779,9,4,8.534507139453254,0.9999999999999997,1.0
787,1.4261347453,5,1,7.394368466362164,0.8193377857093653,0.9999999999999999
780,2.8522694906,7,1,7.394368466362164,0.6472868209091458,1.0
691,5.722908053,23,19,7.394368466362165,0.5198203117587942,1.0
334,16.8566150759,21,12,7.394368466362164,0.816452328366202,1.0000000000000002
9,11.432729849,13,11,7.394368466362164,0.9288770571455167,1.0
137,0.2836825387,11,8,7.394368466362165,0.8901471457762526,1.0
721,0.858436208,7,4,9.393719700182782,1.0,1.0
390,2.569837017,19,15,7.394368466362164,0.9531870002159406,1.0
863,8.2782650941,15,5,7.394368466362164,0.6689415266100192,1.0
290,0.2843324209,14,5,7.522117211682778,0.9999999999999997,1.0
446,5.7107489268,20,13,7.394368466362164,0.9570592570263059,0.9999999999999999
591,0.8510476162,22,19,7.394368466362163,0.7661430981818734,1.0
618,1.9857777711,20,15,7.394368466362164,0.684472740097698,1.0
320,10.8046319943,20,9,7.394368466362164,0.8197901025674654,1.0
504,4.2757633804,23,16,7.394368466362164,0.6223763549147309,1.0
488,4.0020499758,15,10,7.394368466362164,0.8792016342128233,1.0
214,4.5706586673,9,3,8.536889891393828,1.0,1.0
415,1.713224678,27,22,7.394368466362164,0.793846926628717,1.0
67,1.9857777711,12,11,7.394368466362164,0.9590366539857809,1.0
282,1.1373296836,18,7,8.024600720668179,1.0,1.0
394,3.4264493561,20,13,7.394368466362164,0.86147859939738,1.0
783,0.8556808472,6,1,7.394368466362164,0.7131741891815689,1.0
760,2.2818155925,6,3,7.394368466362164,0.6887586619305561,1.0
864,3.4337448318,8,7,7.922060569474258,0.9999999999999997,1.0
790,0.5704538981,5,2,7.394368466362164,0.9134737669739281,1.0
695,4.0060356371,16,13,9.164710581223307,1.0,1.0
181,8.2456402061,22,8,8.428181470468543,0.8273265160749556,1.0
15,8.5745473868,14,6,8.959139479893453,0.9999999999999999,1.0
229,4.5706586673,7,2,7.394368466362164,0.7442557160128009,1.0
576,1.7059945254,15,6,7.394368466362164,0.7378971389181771,1.0
360,3.7119868024,21,13,7.394368466362165,0.7580529477675917,1.0
375,0.2855374463,17,14,7.394368466362164,0.9031174072754423,1.0
263,5.4023159971,22,9,8.759325067530115,1.0,1.0
483,4.2879106883,15,11,7.394368466362164,0.9530838085448656,1.0
4,1.4290912311,12,10,7.394368466362164,0.9898411879942681,0.9999999999999999
734,2.8614540265,12,9,9.19245013723943,1.0000000000000002,1.0
622,0.5673650775,21,20,7.394368466362163,0.8863760888808186,1.0
710,0.5722908053,8,4,9.593462134984248,1.0,1.0
139,1.1347301549,19,17,7.394368466362164,0.914941361551292,1.0
764,1.1409077962,5,1,7.394368466362164,0.8658573910600706,1.0000000000000002
709,4.5783264424,10,5,9.559641123756865,0.9999999999999997,1.0
311,13.3636237824,19,6,7.394368466362164,0.7590827026948442,1.0
565,0.8551526761,25,14,7.394368466362164,0.534835776702659,1.0
403,9.4227357292,29,24,7.394368466362164,0.8320425664415937,1.0
594,0.8510476162,20,16,7.394368466362164,0.647264047046921,1.0
731,5.1506172477,11,9,9.196549181667073,1.0000000000000002,1.0
274,22.5169320906,20,13,7.394368466362165,0.6525507793971091,1.0
37,10.269540037,7,4,8.478196512936297,1.0,1.0
571,11.0889644152,16,10,7.394368466362165,0.8995881461892618,1.0
240,5.7141068054,19,9,8.548606759296563,1.0000000000000002,1.0
216,3.7136601672,8,2,7.394368466362163,0.9888815390250205,1.0
791,2.5670425415,5,1,7.394368466362164,0.7812800955226975,1.0
817,5.4252114804,22,14,7.394368466362164,0.7791228132793793,0.9999999999999998
494,6.0030749636,10,5,7.394368466362164,0.9994741534833149,1.0
460,7.1083105225,21,10,7.394368466362163,0.7732998018476981,1.0
160,2.8502445684,10,5,8.575057462607944,1.0000000000000002,1.0
191,0.8569985001,9,3,7.394368466362164,0.9645747810811461,1.0
231,2.8566616671,6,1,7.394368466362164,0.7671241008132726,1.0
539,4.2879106883,10,6,7.394368466362164,0.6959317557434459,1.0
753,0.5704538981,6,3,7.394368466362164,0.7616862215055121,1.0
302,0.8529972627,16,4,8.37795719678532,0.9999999999999998,1.0
459,4.8336511553,21,10,7.394368466362164,0.8006541868026509,1.0
434,9.9761688392,26,18,7.394368466362164,0.7474922441794778,1.0
763,1.1409077962,5,1,7.394368466362164,0.793935258289979,1.0
384,2.2842995707,24,21,7.394368466362164,0.9442943422226575,1.0000000000000002
25,29.7250976075,18,12,7.394368466362166,0.7562917537456157,1.0
158,13.1111250148,15,10,8.215983380605513,0.8896424454541318,1.0
329,10.2359671525,20,9,7.394368466362164,0.7976525258401143,1.0000000000000002
675,5.9860687325,20,13,7.394368466362164,0.5975447723409656,1.0
720,1.4307270133,11,8,9.394638897903985,0.9999999999999999,1.0
642,1.4272870852,14,9,7.394368466362164,0.91763599007392,0.9999999999999998
254,6.2855174859,20,12,7.394368466362164,0.7574159274722578,1.0
645,2.8545741704,16,12,7.394368466362164,0.9159618823478335,1.0000000000000002
521,4.5737714009,14,10,7.394368466362164,0.6562453618250861,1.0
755,1.1409077962,6,3,7.394368466362164,0.7391396795484309,1.0
21,25.1520056679,17,10,7.394368466362164,0.6658946027251564,1.0000000000000002
798,1.4261347453,9,6,7.394368466362164,0.9009860461974066,1.0
802,0.8556808472,7,3,7.394368466362164,0.7895665723795627,0.9999999999999998
211,0.5713323334,8,4,7.394368466362164,0.8521928984593665,1.0
299,1.1373296836,17,6,8.078903461789073,1.0,1.0
831,7.4108682805,16,10,7.394368466362164,0.9748904568339101,1.0
215,0.8569985001,9,2,8.540814280955288,1.0,1.0
558,4.5608142724,21,14,7.394368466362163,0.6128816842754143,1.0
443,5.1179835762,23,18,7.394368466362164,0.875423365534967,1.0
145,3.6878730035,17,12,7.394368466362165,0.7378403464530833,1.0000000000000002
38,6.2758300226,10,7,7.394368466362164,0.5427408158214487,1.0
234,3.1423278338,7,2,7.394368466362164,0.7556203773548498,1.0
566,4.2649863135,23,9,7.394368466362165,0.8124987651741177,1.0
531,4.2879106883,10,8,7.394368466362164,0.7895446508671149,1.0
601,1.7127445022,15,8,7.394368466362164,0.9527714089014238,1.0
589,9.7055521793,20,13,7.394368466362165,0.6743987323790005,1.0
164,6.2705380506,12,6,8.737079233765279,0.9999999999999999,1.0
832,7.9809350713,20,13,7.394368466362164,0.7249130689922635,1.0
218,10.8553143348,9,3,7.394368466362164,0.9736275073415058,1.0
503,3.7056615963,23,16,7.394368466362162,0.618910716357438,1.0
30,32.0116435773,14,9,7.394368466362164,0.8231652941399888,1.0
56,5.1347700185,8,5,9.05299760477601,0.9999999999999999,1.0
638,1.7127445022,16,7,7.394368466362163,0.6887047868862557,1.0
