Key,ShadowPrice
BusingCardinality,0.08103091639382587
BusingDistance,0.0
0,0.0
1,1.263648384401833
2,0.5159790365431282
3,1.2373907584953656
4,0.7741135188823647
5,0.15228588828714393
6,0.0
7,1.4958578325748455
8,0.5412721911532106
9,3.481097177229614
10,4.782303735488668
11,4.422835853416473
12,1.1469030185694977
13,1.4879307911204163
14,0.18069684017521015
15,0.3689928770961064
16,0.0
17,0.9582752405249266
18,1.086530195313486
19,0.0
20,1.0607509551110752
21,0.8076239639363425
22,3.382539257300806
23,2.7383859741185352
24,0.5258579525055291
25,1.0163017606125688
26,0.26590008659045417
27,0.0
28,0.15133124615015314
29,1.828902976842926
30,2.039421591908763
31,1.9062987552134132
32,1.348860152898897
33,0.0
34,2.285269821565535
35,0.25630299809538065
36,0.0
37,2.3999718710829256
38,3.5063215575463005
39,3.0295822000757653
40,2.609596728784652
41,2.370757055390129
42,0.0
43,1.4702315289081866
44,1.0674460602158538
45,0.8208378679722363
46,1.674166662069993
47,0.46969782958276585
48,0.9158396482086401
49,2.117317324635522
50,0.3350100669332429
51,0.35470717854207123
52,0.3819255003346598
53,0.2030092981788255
54,0.0
55,0.434767852998037
56,0.7625697916732608
57,1.8738079283351112
58,1.6296853221666652
59,0.0
60,1.1538391799801815
61,1.4151753754649805
62,2.639407903797223
63,0.7791842399128655
64,0.0
65,0.3871443975848994
66,2.22999925157055
67,1.2665548693118667
68,2.5631616292901924
69,1.9803497452722407
70,0.9688791453156682
71,0.7597907640013751
72,0.47487022701130827
73,2.752675508785546
74,0.49744497999961906
75,0.125122129498148
76,1.4028954817613801
77,0.0
78,0.0
79,0.8893901766193597
80,0.639713715754509
81,1.6847469857956023
82,1.550566356617864
83,0.3455558894127878
84,1.2335451565346602
85,0.0
86,1.827348574210065
87,2.6608623310798976
88,1.7265534041211197
89,0.29711537431040863
90,1.3868370872024784
91,1.1307950704513456
92,2.3643845651262954
93,1.7939490717246933
94,3.1916295682921714
95,2.9367411953299607
96,1.192305236729202
97,0.82233579303536
98,0.0
99,1.7101857415547812
100,0.48595321322253504
101,0.6907390201436485
102,1.3867281667685916
103,1.031022616139514
104,0.7424657230711733
105,2.44392631855564
106,3.0340253114578957
107,2.5404286203761615
108,2.284040821307738
109,0.6379717138246285
110,1.6459824673822823
111,2.1633764651494403
112,1.8458274479444867
113,1.1463199040227632
114,2.2490039765196457
115,2.369095717405145
116,1.9426147723897316
117,1.7175685015120008
118,1.5594481328074818
119,1.4904358634646304
120,2.499554925035312
121,0.160531067865608
122,0.0
123,0.9568693917962889
124,1.1990714441191699
125,0.0
126,0.0
127,0.0
128,1.0743298514088053
129,0.6556472943187045
130,0.517340658354923
131,1.1318202061757177
132,0.0
133,1.4739373633653021
134,1.192724761551375
135,0.0
136,3.277815767565521
137,0.14551350426708343
138,0.3804601244465271
139,0.14551350426712673
140,1.703160793422711
141,1.1692478525784769
142,0.7435270251374599
143,2.031916514611339
144,1.1065969254921726
145,2.1036313422671213
146,0.707091954643863
147,0.9171025843065161
148,1.1568500049888968
149,0.0
150,2.613627547398707
151,1.833896598935836
152,3.3446182934300737
153,2.572944553922074
154,0.12382149565005118
155,0.10839580532525783
156,1.608087754243004
157,1.415250755325681
158,0.5547918201576367
159,0.0
